Vehicle_ID,Lane_No,First_Frame,Last_Frame,First_Time_s,Last_Time_s,Vehicle_Type
194,1,1970,1970,65.67,65.67,car
195,1,1972,1972,65.73,65.73,car
186,1,1867,1977,62.23,65.9,car
196,1,1982,1982,66.07,66.07,car
197,2,1986,1986,66.2,66.2,car
194,2,1970,1992,65.67,66.4,car
198,2,1997,1997,66.57,66.57,car
199,1,1998,1998,66.6,66.6,car
200,1,2039,2039,67.97,67.97,truck
188,1,1924,2040,64.13,68.0,car
201,2,2044,2044,68.13,68.13,car
202,2,2048,2048,68.27,68.27,car
203,2,2071,2071,69.03,69.03,car
204,2,2074,2074,69.13,69.13,car
205,2,2086,2086,69.53,69.53,car
206,2,2103,2103,70.1,70.1,car
207,2,2105,2105,70.17,70.17,car
208,1,2123,2123,70.77,70.77,car
209,2,2127,2127,70.9,70.9,car
210,2,2130,2130,71.0,71.0,car
211,1,2135,2135,71.17,71.17,car
212,1,2144,2144,71.47,71.47,car
213,2,2149,2149,71.63,71.63,car
214,2,2155,2155,71.83,71.83,car
215,2,2157,2157,71.9,71.9,car
216,1,2159,2159,71.97,71.97,car
217,1,2176,2176,72.53,72.53,car
218,2,2178,2178,72.6,72.6,car
219,2,2184,2184,72.8,72.8,truck
220,2,2210,2210,73.67,73.67,car
221,1,2221,2221,74.03,74.03,car
204,1,2074,2223,69.13,74.1,car
222,2,2236,2236,74.53,74.53,bus
223,1,2247,2247,74.9,74.9,car
224,2,2250,2250,75.0,75.0,car
224,1,2250,2257,75.0,75.23,car
212,2,2144,2265,71.47,75.5,car
225,1,2268,2268,75.6,75.6,car
226,1,2270,2270,75.67,75.67,car
227,1,2296,2296,76.53,76.53,car
228,1,2306,2306,76.87,76.87,bus
229,2,2307,2307,76.9,76.9,car
230,2,2322,2322,77.4,77.4,car
231,1,2340,2340,78.0,78.0,car
232,1,2342,2342,78.07,78.07,car
233,1,2364,2364,78.8,78.8,car
234,2,2368,2368,78.93,78.93,car
235,1,2402,2402,80.07,80.07,car
236,2,2406,2406,80.2,80.2,car
233,2,2364,2407,78.8,80.23,car
237,2,2411,2411,80.37,80.37,car
238,2,2412,2412,80.4,80.4,car
239,2,2443,2443,81.43,81.43,car
240,2,2445,2445,81.5,81.5,car
241,1,2446,2446,81.53,81.53,car
235,2,2402,2453,80.07,81.77,car
242,2,2461,2461,82.03,82.03,bus
243,2,2468,2468,82.27,82.27,car
244,2,2508,2508,83.6,83.6,car
245,1,2539,2539,84.63,84.63,car
246,2,2550,2550,85.0,85.0,car
247,2,2553,2553,85.1,85.1,car
245,2,2539,2561,84.63,85.37,car
248,1,2568,2568,85.6,85.6,truck
249,1,2585,2585,86.17,86.17,bus
250,2,2585,2585,86.17,86.17,car
251,2,2599,2599,86.63,86.63,car
252,2,2627,2627,87.57,87.57,car
253,1,2635,2635,87.83,87.83,car
254,2,2641,2641,88.03,88.03,car
255,1,2657,2657,88.57,88.57,car
256,1,2661,2661,88.7,88.7,truck
257,1,2664,2664,88.8,88.8,bus
255,2,2657,2671,88.57,89.03,car
258,1,2673,2673,89.1,89.1,car
259,1,2687,2687,89.57,89.57,car
260,2,2717,2717,90.57,90.57,car
261,1,2718,2718,90.6,90.6,car
262,1,2730,2730,91.0,91.0,bus
261,2,2718,2758,90.6,91.93,car
263,1,2762,2762,92.07,92.07,bus
264,1,2791,2791,93.03,93.03,car
265,1,2795,2795,93.17,93.17,car
264,2,2791,2807,93.03,93.57,car
266,1,2827,2827,94.23,94.23,car
267,1,2831,2831,94.37,94.37,truck
268,1,2839,2839,94.63,94.63,car
269,1,2860,2860,95.33,95.33,car
270,1,2896,2896,96.53,96.53,bus
269,2,2860,2899,95.33,96.63,car
271,2,2914,2914,97.13,97.13,car
272,1,2919,2919,97.3,97.3,truck
273,1,2940,2940,98.0,98.0,truck
274,1,2946,2946,98.2,98.2,truck
275,1,2951,2951,98.37,98.37,car
276,1,2957,2957,98.57,98.57,car
277,1,2966,2966,98.87,98.87,car
278,1,2979,2979,99.3,99.3,car
279,1,2989,2989,99.63,99.63,bus
280,1,2999,2999,99.97,99.97,truck
281,2,3004,3004,100.13,100.13,car
282,2,3017,3017,100.57,100.57,car
283,2,3019,3019,100.63,100.63,car
284,2,3031,3031,101.03,101.03,car
285,1,3040,3040,101.33,101.33,bus
286,1,3043,3043,101.43,101.43,car
287,2,3046,3046,101.53,101.53,car
288,1,3050,3050,101.67,101.67,car
289,1,3057,3057,101.9,101.9,car
290,2,3094,3094,103.13,103.13,car
291,2,3094,3094,103.13,103.13,bus
292,1,3097,3097,103.23,103.23,bus
293,2,3118,3118,103.93,103.93,car
290,1,3094,3119,103.13,103.97,car
294,2,3122,3122,104.07,104.07,car
295,1,3126,3126,104.2,104.2,car
296,2,3135,3135,104.5,104.5,car
297,2,3137,3137,104.57,104.57,car
298,2,3146,3146,104.87,104.87,car
295,2,3126,3148,104.2,104.93,car
294,1,3122,3154,104.07,105.13,car
299,1,3171,3171,105.7,105.7,bus
300,2,3174,3174,105.8,105.8,car
301,2,3179,3179,105.97,105.97,bus
302,1,3182,3182,106.07,106.07,car
303,1,3182,3182,106.07,106.07,car
304,1,3184,3184,106.13,106.13,car
296,1,3135,3190,104.5,106.33,car
305,2,3193,3193,106.43,106.43,car
306,2,3208,3208,106.93,106.93,car
307,1,3212,3212,107.07,107.07,car
303,2,3182,3218,106.07,107.27,car
308,1,3230,3230,107.67,107.67,car
309,2,3244,3244,108.13,108.13,car
310,1,3292,3292,109.73,109.73,car
311,1,3304,3304,110.13,110.13,truck
312,3,3315,3315,110.5,110.5,car
313,1,3319,3319,110.63,110.63,bus
314,2,3333,3333,111.1,111.1,bus
311,2,3304,3337,110.13,111.23,bus
315,1,3415,3415,113.83,113.83,car
316,2,3429,3429,114.3,114.3,car
317,1,3445,3445,114.83,114.83,truck
318,2,3446,3446,114.87,114.87,car
319,1,3450,3450,115.0,115.0,car
320,2,3471,3471,115.7,115.7,car
321,3,3488,3488,116.27,116.27,car
322,1,3502,3502,116.73,116.73,bus
323,1,3511,3511,117.03,117.03,car
324,1,3511,3511,117.03,117.03,bus
325,1,3515,3515,117.17,117.17,car
326,2,3515,3515,117.17,117.17,car
327,1,3525,3525,117.5,117.5,truck
328,2,3527,3527,117.57,117.57,car
320,1,3471,3539,115.7,117.97,car
329,2,3539,3539,117.97,117.97,car
330,1,3567,3567,118.9,118.9,car
331,2,3570,3570,119.0,119.0,bus
323,2,3511,3583,117.03,119.43,car
332,1,3585,3585,119.5,119.5,car
333,1,3619,3619,120.63,120.63,car
334,3,3636,3636,121.2,121.2,car
332,2,3585,3659,119.5,121.97,car
335,1,3728,3728,124.27,124.27,car
336,1,3738,3738,124.6,124.6,car
337,1,3748,3748,124.93,124.93,car
338,2,3752,3752,125.07,125.07,car
335,2,3728,3774,124.27,125.8,car
339,1,3792,3792,126.4,126.4,car
340,2,3820,3820,127.33,127.33,car
341,1,3840,3840,128.0,128.0,car
342,2,3844,3844,128.13,128.13,car
341,2,3840,3847,128.0,128.23,car
343,1,3853,3853,128.43,128.43,car
344,2,3859,3859,128.63,128.63,car
340,1,3820,3878,127.33,129.27,car
345,1,3883,3883,129.43,129.43,bus
346,2,3884,3884,129.47,129.47,car
347,1,3885,3885,129.5,129.5,car
348,2,3897,3897,129.9,129.9,bus
349,1,3898,3898,129.93,129.93,car
350,2,3908,3908,130.27,130.27,car
351,2,3911,3911,130.37,130.37,bus
352,1,3913,3913,130.43,130.43,truck
353,1,3915,3915,130.5,130.5,car
354,1,3916,3916,130.53,130.53,truck
355,2,3924,3924,130.8,130.8,car
356,1,3925,3925,130.83,130.83,car
357,1,3929,3929,130.97,130.97,truck
358,2,3957,3957,131.9,131.9,car
359,1,3966,3966,132.2,132.2,car
360,1,3967,3967,132.23,132.23,car
361,2,3969,3969,132.3,132.3,car
362,1,3970,3970,132.33,132.33,car
363,2,3981,3981,132.7,132.7,car
364,2,4019,4019,133.97,133.97,car
365,2,4022,4022,134.07,134.07,car
366,1,4041,4041,134.7,134.7,bus
367,2,4063,4063,135.43,135.43,car
368,2,4063,4063,135.43,135.43,car
369,1,4070,4070,135.67,135.67,car
370,1,4071,4071,135.7,135.7,bus
371,1,4073,4073,135.77,135.77,car
372,2,4079,4079,135.97,135.97,car
373,2,4080,4080,136.0,136.0,car
365,1,4022,4081,134.07,136.03,car
374,2,4083,4083,136.1,136.1,car
367,1,4063,4090,135.43,136.33,car
375,1,4097,4097,136.57,136.57,car
376,2,4100,4100,136.67,136.67,car
377,2,4116,4116,137.2,137.2,car
378,2,4131,4131,137.7,137.7,car
379,1,4132,4132,137.73,137.73,car
380,2,4137,4137,137.9,137.9,car
381,1,4139,4139,137.97,137.97,car
382,3,4142,4142,138.07,138.07,bus
383,2,4146,4146,138.2,138.2,car
384,2,4150,4150,138.33,138.33,car
385,2,4167,4167,138.9,138.9,car
372,1,4079,4171,135.97,139.03,car
386,1,4180,4180,139.33,139.33,car
387,2,4183,4183,139.43,139.43,car
388,1,4185,4185,139.5,139.5,car
389,1,4187,4187,139.57,139.57,car
390,1,4187,4187,139.57,139.57,car
391,3,4199,4199,139.97,139.97,car
388,2,4185,4207,139.5,140.23,car
392,2,4207,4207,140.23,140.23,car
377,1,4116,4214,137.2,140.47,car
393,2,4215,4215,140.5,140.5,car
394,1,4219,4219,140.63,140.63,car
395,3,4222,4222,140.73,140.73,car
396,1,4233,4233,141.1,141.1,car
397,2,4234,4234,141.13,141.13,car
398,1,4234,4234,141.13,141.13,car
399,1,4242,4242,141.4,141.4,bus
400,1,4249,4249,141.63,141.63,car
401,1,4252,4252,141.73,141.73,car
402,2,4258,4258,141.93,141.93,car
384,1,4150,4260,138.33,142.0,car
403,1,4270,4270,142.33,142.33,car
404,2,4273,4273,142.43,142.43,car
387,1,4183,4284,139.43,142.8,car
405,2,4290,4290,143.0,143.0,car
406,2,4304,4304,143.47,143.47,car
407,1,4318,4318,143.93,143.93,bus
408,1,4339,4339,144.63,144.63,car
402,1,4258,4341,141.93,144.7,car
409,2,4358,4358,145.27,145.27,bus
410,2,4361,4361,145.37,145.37,car
411,1,4368,4368,145.6,145.6,car
412,2,4370,4370,145.67,145.67,car
411,2,4368,4386,145.6,146.2,car
409,1,4358,4393,145.27,146.43,bus
413,3,4411,4411,147.03,147.03,car
414,2,4433,4433,147.77,147.77,car
415,1,4442,4442,148.07,148.07,bus
416,2,4456,4456,148.53,148.53,car
417,2,4476,4476,149.2,149.2,car
418,2,4499,4499,149.97,149.97,car
419,2,4512,4512,150.4,150.4,car
420,1,4518,4518,150.6,150.6,car
421,2,4527,4527,150.9,150.9,car
422,2,4544,4544,151.47,151.47,car
423,1,4545,4545,151.5,151.5,car
420,2,4518,4562,150.6,152.07,car
424,2,4567,4567,152.23,152.23,car
419,1,4512,4572,150.4,152.4,car
425,1,4601,4601,153.37,153.37,car
426,1,4620,4620,154.0,154.0,car
427,2,4621,4621,154.03,154.03,car
428,1,4624,4624,154.13,154.13,car
429,1,4647,4647,154.9,154.9,car
430,1,4672,4672,155.73,155.73,car
431,2,4677,4677,155.9,155.9,car
432,1,4679,4679,155.97,155.97,car
433,3,4708,4708,156.93,156.93,car
434,1,4708,4708,156.93,156.93,car
435,1,4710,4710,157.0,157.0,bus
436,2,4712,4712,157.07,157.07,car
437,2,4725,4725,157.5,157.5,car
438,1,4739,4739,157.97,157.97,car
439,1,4750,4750,158.33,158.33,car
440,2,4767,4767,158.9,158.9,car
437,1,4725,4778,157.5,159.27,car
441,2,4784,4784,159.47,159.47,car
442,1,4789,4789,159.63,159.63,car
443,3,4790,4790,159.67,159.67,car
444,2,4795,4795,159.83,159.83,car
445,2,4809,4809,160.3,160.3,car
446,2,4810,4810,160.33,160.33,car
447,2,4816,4816,160.53,160.53,bus
441,1,4784,4817,159.47,160.57,bus
448,1,4822,4822,160.73,160.73,bus
449,1,4832,4832,161.07,161.07,car
444,1,4795,4837,159.83,161.23,car
450,1,4840,4840,161.33,161.33,car
451,1,4865,4865,162.17,162.17,car
452,1,4868,4868,162.27,162.27,car
453,2,4876,4876,162.53,162.53,car
454,2,4879,4879,162.63,162.63,car
455,2,4885,4885,162.83,162.83,bus
456,2,4886,4886,162.87,162.87,car
457,1,4894,4894,163.13,163.13,bus
458,1,4902,4902,163.4,163.4,bus
445,1,4809,4906,160.3,163.53,car
459,1,4911,4911,163.7,163.7,truck
460,2,4916,4916,163.87,163.87,car
461,1,4925,4925,164.17,164.17,truck
462,2,4952,4952,165.07,165.07,car
463,1,4955,4955,165.17,165.17,car
464,2,4969,4969,165.63,165.63,car
465,2,4971,4971,165.7,165.7,car
453,1,4876,4974,162.53,165.8,car
466,2,4978,4978,165.93,165.93,car
467,1,4984,4984,166.13,166.13,car
468,1,4988,4988,166.27,166.27,car
469,2,5002,5002,166.73,166.73,car
470,1,5017,5017,167.23,167.23,car
460,1,4916,5018,163.87,167.27,car
462,1,4952,5055,165.07,168.5,car
471,1,5065,5065,168.83,168.83,car
472,3,5066,5066,168.87,168.87,car
473,2,5067,5067,168.9,168.9,car
474,2,5069,5069,168.97,168.97,car
475,2,5074,5074,169.13,169.13,car
476,1,5075,5075,169.17,169.17,car
477,1,5084,5084,169.47,169.47,car
478,2,5110,5110,170.33,170.33,bus
479,1,5113,5113,170.43,170.43,car
480,2,5115,5115,170.5,170.5,car
481,1,5116,5116,170.53,170.53,car
482,2,5120,5120,170.67,170.67,car
483,1,5126,5126,170.87,170.87,car
484,2,5134,5134,171.13,171.13,car
485,1,5136,5136,171.2,171.2,car
486,1,5140,5140,171.33,171.33,bus
487,2,5167,5167,172.23,172.23,bus
488,1,5180,5180,172.67,172.67,car
488,2,5180,5184,172.67,172.8,car
489,2,5216,5216,173.87,173.87,bus
490,1,5234,5234,174.47,174.47,car
489,1,5216,5235,173.87,174.5,car
491,1,5243,5243,174.77,174.77,car
492,2,5252,5252,175.07,175.07,car
493,2,5254,5254,175.13,175.13,car
494,2,5256,5256,175.2,175.2,car
495,2,5257,5257,175.23,175.23,car
496,1,5295,5295,176.5,176.5,car
497,2,5300,5300,176.67,176.67,car
498,2,5307,5307,176.9,176.9,car
499,2,5307,5307,176.9,176.9,car
500,1,5317,5317,177.23,177.23,truck
501,1,5328,5328,177.6,177.6,truck
502,2,5353,5353,178.43,178.43,car
503,1,5354,5354,178.47,178.47,car
504,3,5379,5379,179.3,179.3,car
505,2,5389,5389,179.63,179.63,car
506,2,5393,5393,179.77,179.77,car
507,2,5394,5394,179.8,179.8,bus
508,2,5399,5399,179.97,179.97,car
509,1,5410,5410,180.33,180.33,car
510,1,5414,5414,180.47,180.47,bus
511,2,5415,5415,180.5,180.5,car
512,2,5417,5417,180.57,180.57,bus
513,1,5419,5419,180.63,180.63,bus
514,2,5421,5421,180.7,180.7,car
515,1,5428,5428,180.93,180.93,car
516,1,5430,5430,181.0,181.0,car
517,1,5437,5437,181.23,181.23,car
518,2,5443,5443,181.43,181.43,car
519,1,5470,5470,182.33,182.33,car
520,2,5473,5473,182.43,182.43,car
511,1,5415,5482,180.5,182.73,car
521,2,5482,5482,182.73,182.73,bus
522,1,5497,5497,183.23,183.23,bus
523,2,5502,5502,183.4,183.4,car
524,2,5506,5506,183.53,183.53,car
525,2,5520,5520,184.0,184.0,car
526,1,5532,5532,184.4,184.4,bus
527,1,5534,5534,184.47,184.47,car
528,1,5544,5544,184.8,184.8,car
520,1,5473,5559,182.43,185.3,car
529,2,5565,5565,185.5,185.5,car
530,1,5567,5567,185.57,185.57,car
531,1,5574,5574,185.8,185.8,truck
529,1,5565,5582,185.5,186.07,car
532,1,5583,5583,186.1,186.1,car
533,2,5591,5591,186.37,186.37,car
534,1,5614,5614,187.13,187.13,car
535,2,5617,5617,187.23,187.23,car
536,2,5627,5627,187.57,187.57,car
537,1,5633,5633,187.77,187.77,car
538,2,5634,5634,187.8,187.8,car
539,1,5640,5640,188.0,188.0,car
540,2,5644,5644,188.13,188.13,car
541,1,5660,5660,188.67,188.67,car
542,1,5663,5663,188.77,188.77,bus
543,2,5663,5663,188.77,188.77,car
544,2,5669,5669,188.97,188.97,car
545,2,5679,5679,189.3,189.3,car
546,3,5682,5682,189.4,189.4,car
547,2,5684,5684,189.47,189.47,car
548,2,5726,5726,190.87,190.87,car
549,2,5729,5729,190.97,190.97,car
550,1,5740,5740,191.33,191.33,car
551,1,5758,5758,191.93,191.93,car
552,1,5778,5778,192.6,192.6,car
545,1,5679,5779,189.3,192.63,car
553,1,5788,5788,192.93,192.93,car
554,2,5791,5791,193.03,193.03,car
555,2,5799,5799,193.3,193.3,bus
556,1,5803,5803,193.43,193.43,car
557,1,5805,5805,193.5,193.5,car
558,3,5821,5821,194.03,194.03,car
559,1,5824,5824,194.13,194.13,car
560,2,5829,5829,194.3,194.3,car
561,1,5840,5840,194.67,194.67,truck
562,1,5844,5844,194.8,194.8,bus
